"Dosis","Fecha inmunización","Personas vacunadas por día","Total de personas vacunadas a la fecha"
"1 dosis","08/03/2021","136.544","4.197.625"
"1 dosis","07/03/2021","1.064","4.061.081"
"1 dosis","06/03/2021","9.647","4.060.017"
"1 dosis","05/03/2021","136.203","4.050.370"
"1 dosis","04/03/2021","144.679","3.914.167"
"1 dosis","03/03/2021","157.790","3.769.488"
"1 dosis","02/03/2021","158.867","3.611.698"
"1 dosis","01/03/2021","137.093","3.452.831"
"1 dosis","28/02/2021","355","3.315.738"
"1 dosis","27/02/2021","9.979","3.315.383"
"1 dosis","26/02/2021","78.253","3.305.404"
"1 dosis","25/02/2021","85.927","3.227.151"
"1 dosis","24/02/2021","86.100","3.141.224"
"1 dosis","23/02/2021","94.208","3.055.124"
"1 dosis","22/02/2021","108.110","2.960.916"
"1 dosis","21/02/2021","1.162","2.852.806"
"1 dosis","20/02/2021","9.641","2.851.644"
"1 dosis","19/02/2021","142.119","2.842.003"
"1 dosis","18/02/2021","155.258","2.699.884"
"1 dosis","17/02/2021","188.040","2.544.626"
"1 dosis","16/02/2021","220.026","2.356.586"
"1 dosis","15/02/2021","265.863","2.136.560"
"1 dosis","14/02/2021","4.467","1.870.697"
"1 dosis","13/02/2021","29.519","1.866.230"
"1 dosis","12/02/2021","229.237","1.836.711"
"1 dosis","11/02/2021","251.353","1.607.474"
"1 dosis","10/02/2021","272.422","1.356.121"
"1 dosis","09/02/2021","242.470","1.083.699"
"1 dosis","08/02/2021","221.473","841.229"
"1 dosis","07/02/2021","8.634","619.756"
"1 dosis","06/02/2021","27.849","611.122"
"1 dosis","05/02/2021","168.693","583.273"
"1 dosis","04/02/2021","174.026","414.580"
"1 dosis","03/02/2021","170.363","240.554"
"1 dosis","02/02/2021","13.181","70.191"
"1 dosis","30/01/2021","1","57.010"
"1 dosis","29/01/2021",".","."
"1 dosis","27/01/2021","1","57.009"
"1 dosis","26/01/2021","21","57.008"
"1 dosis","25/01/2021","17","56.987"
"1 dosis","22/01/2021","412","56.970"
"1 dosis","21/01/2021","3.058","56.558"
"1 dosis","20/01/2021","9.305","53.500"
"1 dosis","19/01/2021","19.355","44.195"
"1 dosis","18/01/2021","11.039","24.840"
"1 dosis","16/01/2021","23","13.801"
"1 dosis","15/01/2021","957","13.778"
"1 dosis","14/01/2021","2.118","12.821"
"1 dosis","13/01/2021","1","10.703"
"1 dosis","06/01/2021","205","10.702"
"1 dosis","05/01/2021","1.443","10.497"
"1 dosis","04/01/2021","405","9.054"
"1 dosis","27/12/2020","311","8.649"
"1 dosis","26/12/2020","3.140","8.338"
"1 dosis","25/12/2020","4.778","5.198"
"1 dosis","24/12/2020","420","420"
"2 dosis","26/06/2021","30.011","9.973.377"
"2 dosis","25/06/2021","115.954","9.943.366"
"2 dosis","24/06/2021","133.473","9.827.412"
"2 dosis","23/06/2021","156.245","9.693.939"
"2 dosis","22/06/2021","196.763","9.537.694"
"2 dosis","21/06/2021","11.530","9.340.931"
"2 dosis","20/06/2021","2.105","9.329.401"
"2 dosis","19/06/2021","19.540","9.327.296"
"2 dosis","18/06/2021","42.549","9.307.756"
"2 dosis","17/06/2021","108.104","9.265.207"
"2 dosis","16/06/2021","116.156","9.157.103"
"2 dosis","15/06/2021","121.349","9.040.947"
"2 dosis","14/06/2021","112.085","8.919.598"
"2 dosis","13/06/2021","591","8.807.513"
"2 dosis","12/06/2021","9.361","8.806.922"
"2 dosis","11/06/2021","93.853","8.797.561"
"2 dosis","10/06/2021","93.321","8.703.708"
"2 dosis","09/06/2021","99.941","8.610.387"
"2 dosis","08/06/2021","104.026","8.510.446"
"2 dosis","07/06/2021","99.764","8.406.420"
"2 dosis","06/06/2021","1.215","8.306.656"
"2 dosis","05/06/2021","13.012","8.305.441"
"2 dosis","04/06/2021","68.215","8.292.429"
"2 dosis","03/06/2021","68.386","8.224.214"
"2 dosis","02/06/2021","71.617","8.155.828"
"2 dosis","01/06/2021","71.249","8.084.211"
"2 dosis","31/05/2021","59.388","8.012.962"
"2 dosis","30/05/2021","968","7.953.574"
"2 dosis","29/05/2021","5.750","7.952.606"
"2 dosis","28/05/2021","40.610","7.946.856"
"2 dosis","27/05/2021","36.040","7.906.246"
"2 dosis","26/05/2021","48.139","7.870.206"
"2 dosis","25/05/2021","56.495","7.822.067"
"2 dosis","24/05/2021","60.838","7.765.572"
"2 dosis","23/05/2021","587","7.704.734"
"2 dosis","22/05/2021","6.255","7.704.147"
"2 dosis","21/05/2021","1.349","7.697.892"
"2 dosis","20/05/2021","63.080","7.696.543"
"2 dosis","19/05/2021","40.970","7.633.463"
"2 dosis","18/05/2021","47.301","7.592.493"
"2 dosis","17/05/2021","46.676","7.545.192"
"2 dosis","16/05/2021","170","7.498.516"
"2 dosis","15/05/2021","403","7.498.346"
"2 dosis","14/05/2021","55.669","7.497.943"
"2 dosis","13/05/2021","59.967","7.442.274"
"2 dosis","12/05/2021","77.824","7.382.307"
"2 dosis","11/05/2021","84.565","7.304.483"
"2 dosis","10/05/2021","69.899","7.219.918"
"2 dosis","09/05/2021","443","7.150.019"
"2 dosis","08/05/2021","8.141","7.149.576"
"2 dosis","07/05/2021","63.377","7.141.435"
"2 dosis","06/05/2021","76.103","7.078.058"
"2 dosis","05/05/2021","93.007","7.001.955"
"2 dosis","04/05/2021","87.988","6.908.948"
"2 dosis","03/05/2021","75.381","6.820.960"
"2 dosis","02/05/2021","661","6.745.579"
"2 dosis","01/05/2021","1.202","6.744.918"
"2 dosis","30/04/2021","36.747","6.743.716"
"2 dosis","29/04/2021","124.009","6.706.969"
"2 dosis","28/04/2021","124.931","6.582.960"
"2 dosis","27/04/2021","131.518","6.458.029"
"2 dosis","26/04/2021","152.829","6.326.511"
"2 dosis","25/04/2021","688","6.173.682"
"2 dosis","24/04/2021","11.885","6.172.994"
"2 dosis","23/04/2021","143.111","6.161.109"
"2 dosis","22/04/2021","143.200","6.017.998"
"2 dosis","21/04/2021","144.860","5.874.798"
"2 dosis","20/04/2021","146.831","5.729.938"
"2 dosis","19/04/2021","148.440","5.583.107"
"2 dosis","18/04/2021","1.756","5.434.667"
"2 dosis","17/04/2021","14.337","5.432.911"
"2 dosis","16/04/2021","132.631","5.418.574"
"2 dosis","15/04/2021","143.948","5.285.943"
"2 dosis","14/04/2021","149.527","5.141.995"
"2 dosis","13/04/2021","159.892","4.992.468"
"2 dosis","12/04/2021","158.660","4.832.576"
"2 dosis","11/04/2021","1.355","4.673.916"
"2 dosis","10/04/2021","14.828","4.672.561"
"2 dosis","09/04/2021","147.975","4.657.733"
"2 dosis","08/04/2021","162.664","4.509.758"
